dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.01123377500189230021598874031952,0.00789999961853020057911400897410,,,True,True,0,0,500,500
moons,0.01137304999865590068863774320107,0.05544999837875359827155108405350,0.76627386691419774322753255546559,0.76627386691419774322753255546559,True,True,2,2,90,90
varied,0.01109378000255670064511104300209,0.00815000534057610040439278975555,,,True,True,0,0,500,500
aniso,0.01088239999662610028863252153997,0.54794999361038210228258549250313,,,True,True,0,0,500,500
blobs,0.01123609999776810017269035313348,0.00835000276565549953700084984121,,,True,True,0,0,500,500
no_structure,0.01112617499748009934623649286323,0.00880000591278069961564956003031,,,True,True,0,0,500,500
heartfailure,0.02130044500227079931620188801844,0.06579999923706049413940633030506,,,True,True,0,0,425,425
cardiacarrest,0.01401578500226599924283199527508,0.04574999809265130334967608405350,,,True,True,0,0,422,422
neuroblastoma,0.00432307500304879993580087216287,0.04279999732971190296026975374843,,,True,True,0,0,169,169
sepsis,0.10004845499643119643984334743436,0.09654999971389770230256743843711,,,True,True,0,0,1257,1257
type1diabetes,0.00287838999938680017293135549039,0.04254999160766600313499097296699,,,True,True,0,0,67,67
